No.,Subject,Subject_2,Gender,Type,No. Entered,No. Sat,Chinese Version %,Performance - 5**,Performance - 5*+,Performance - 5+,Performance - 4+,Performance - 3+,Performance - 2+,Performance - 1+,Performance - U
1,Biology,,Male,Number,5135,4947,,121,449,1105,2442,3591,4524,4757,190
2,Biology,,Male,Percentage,,,40.4,2.4%,9.1%,22.3%,49.4%,72.6%,91.4%,96.2%,3.8%
3,Biology,,Female,Number,6806,6612,,109,467,1171,2974,4656,6066,6417,195
4,Biology,,Female,Percentage,,,36.6,1.6%,7.1%,17.7%,45.0%,70.4%,91.7%,97.1%,2.9%
5,Biology,,Total,Number,11941,11559,,230,916,2276,5416,8247,10590,11174,385
6,Biology,,Total,Percentage,,,38.2,2.0%,7.9%,19.7%,46.9%,71.3%,91.6%,96.7%,3.3%
7,"Business, Accounting and Financial Studies",Accounting,Male,Number,2888,2713,,43,179,452,1213,1882,2463,2643,70
8,"Business, Accounting and Financial Studies",Accounting,Male,Percentage,,,40.2,1.6%,6.6%,16.7%,44.7%,69.4%,90.8%,97.4%,2.6%
9,"Business, Accounting and Financial Studies",Accounting,Female,Number,3461,3339,,52,186,481,1425,2360,3067,3281,58
10,"Business, Accounting and Financial Studies",Accounting,Female,Percentage,,,29.8,1.6%,5.6%,14.4%,42.7%,70.7%,91.9%,98.3%,1.7%
11,"Business, Accounting and Financial Studies",Accounting,Total,Number,6349,6052,,95,365,933,2638,4242,5530,5924,128
12,"Business, Accounting and Financial Studies",Accounting,Total,Percentage,,,34.5,1.6%,6.0%,15.4%,43.6%,70.1%,91.4%,97.9%,2.1%
13,"Business, Accounting and Financial Studies",Business Management,Male,Number,1212,1129,,9,35,78,322,632,979,1089,40
14,"Business, Accounting and Financial Studies",Business Management,Male,Percentage,,,74.3,0.8%,3.1%,6.9%,28.5%,56.0%,86.7%,96.5%,3.5%
15,"Business, Accounting and Financial Studies",Business Management,Female,Number,1319,1267,,9,44,120,432,810,1152,1239,28
16,"Business, Accounting and Financial Studies",Business Management,Female,Percentage,,,71.2,0.7%,3.5%,9.5%,34.1%,63.9%,90.9%,97.8%,2.2%
17,"Business, Accounting and Financial Studies",Business Management,Total,Number,2531,2396,,18,79,198,754,1442,2131,2328,68
18,"Business, Accounting and Financial Studies",Business Management,Total,Percentage,,,72.7,0.8%,3.3%,8.3%,31.5%,60.2%,88.9%,97.2%,2.8%
19,Chemistry,,Male,Number,6086,5767,,188,699,1645,3116,4498,5103,5529,238
20,Chemistry,,Male,Percentage,,,25.8,3.3%,12.1%,28.5%,54.0%,78.0%,88.5%,95.9%,4.1%
21,Chemistry,,Female,Number,4960,4748,,120,464,1138,2298,3531,4157,4555,193
22,Chemistry,,Female,Percentage,,,22.0,2.5%,9.8%,24.0%,48.4%,74.4%,87.6%,95.9%,4.1%
23,Chemistry,,Total,Number,11046,10515,,308,1163,2783,5414,8029,9260,10084,431
24,Chemistry,,Total,Percentage,,,24.1,2.9%,11.1%,26.5%,51.5%,76.4%,88.1%,95.9%,4.1%
25,Chinese History,,Male,Number,2302,2162,,36,116,275,788,1404,1924,2074,88
26,Chinese History,,Male,Percentage,,,-,1.7%,5.4%,12.7%,36.4%,64.9%,89.0%,95.9%,4.1%
27,Chinese History,,Female,Number,3033,2917,,37,163,412,1195,2019,2689,2857,60
28,Chinese History,,Female,Percentage,,,-,1.3%,5.6%,14.1%,41.0%,69.2%,92.2%,97.9%,2.1%
29,Chinese History,,Total,Number,5335,5079,,73,279,687,1983,3423,4613,4931,148
